K	delta	s	b	NashEh	NashRh	CS01h	CS12h	TS01h	TS12h	Coop01h	Coop12h
0	1	0.9	0	0	0	0	0	0	0	0	0
0	1	0.9	0.01	0	0	0	0	0	0	0	0
0	1	0.9	0.02	0	0	0	0	0	0	0	0
0	1	0.9	0.03	0	0	0	0.02	0	0	0	0
0	1	0.9	0.04	0	0	0	0.04	0	0	0	0
0	1	0.9	0.05	0	0	0	0.06	0	0.02	0	0
0	1	0.9	0.06	0	0	0	0.1	0	0.02	0	0
0	1	0.9	0.07	0	0	0	0.12	0	0.04	0	0
0	1	0.9	0.08	0	0	0	0.18	0	0.06	0	0
0	1	0.9	0.09	0	0	0	0.22	0	0.06	0	0
0	1	0.9	0.1	0	0	0	0.28	0	0.08	0	0
0	1	0.9	0.11	0	0	0	0.32	0	0.1	0	0
0	1	0.9	0.12	0.02	0	0	0.4	0	0.12	0	0
0	1	0.9	0.13	0.02	0	0	0.48	0	0.14	0	0
0	1	0.9	0.14	0.02	0	0	0.56	0	0.16	0	0
0	1	0.9	0.15	0.04	0	0	0.62	0	0.18	0	0
0	1	0.9	0.16	0.04	0	0	0.72	0	0.2	0	0
0	1	0.9	0.17	0.04	0	0	0.82	0	0.24	0	0
0	1	0.9	0.18	0.06	0	0	0.92	0	0.26	0	0
0	1	0.9	0.19	0.08	0	0	1.02	0	0.28	0	0
0	1	0.9	0.2	0.08	0	0	1.14	0	0.32	0	0
0	1	0.9	0.21	0.1	0	0	1.26	0	0.34	0	0
0	1	0.9	0.22	0.1	0	0	1.4	0	0.38	0	0
0	1	0.9	0.23	0.12	0	0	1.56	0	0.4	0	0
0	1	0.9	0.24	0.14	0	0	1.66	0	0.44	0	0
0	1	0.9	0.25	0.16	0	0	1.86	0	0.46	0	0
0	1	0.9	0.26	0.18	0	0	1.98	0	0.5	0	0
0	1	0.9	0.27	0.18	0	0	2.2	0	0.54	0	0
0	1	0.9	0.28	0.2	0	0	2.38	0	0.56	0	0
0	1	0.9	0.29	0.22	0.02	0	2.56	0	0.6	0	0
0	1	0.9	0.3	0.26	0.02	0	2.74	0	0.62	0	0
0	1	0.9	0.31	0.28	0.02	0	2.96	0	0.66	0	0
0	1	0.9	0.32	0.3	0.02	0	3.18	0	0.7	0	0
0	1	0.9	0.33	0.32	0.02	0	3.42	0	0.74	0	0
0	1	0.9	0.34	0.36	0.02	0	3.66	0	0.76	0	0
0	1	0.9	0.35	0.38	0.02	0	3.94	0	0.8	0	0
0	1	0.9	0.36	0.42	0.04	0	4.22	0	0.84	0	0
0	1	0.9	0.37	0.44	0.04	0	4.48	0	0.88	0	0
0	1	0.9	0.38	0.48	0.04	0	4.72	0	0.9	0	0
0	1	0.9	0.39	0.52	0.04	0	5.08	0	0.96	0	0
0	1	0.9	0.4	0.54	0.04	0	5.46	0	0.98	0	0
0	1	0.9	0.41	0.58	0.06	0	5.68	0	1.02	0	0
0	1	0.9	0.42	0.64	0.06	0	6.1	0	1.06	0	0
0	1	0.9	0.43	0.68	0.06	0	6.48	0	1.08	0	0
0	1	0.9	0.44	0.72	0.08	0	6.8	0	1.14	0	0
0	1	0.9	0.45	0.76	0.08	0	7.3	0	1.16	0	0
0	1	0.9	0.46	0.82	0.08	0	7.62	0	1.2	0	0
0	1	0.9	0.47	0.86	0.1	0	8.16	0	1.24	0	0
0	1	0.9	0.48	0.92	0.1	0	8.48	0	1.26	0	0
0	1	0.9	0.49	0.96	0.1	0	9.12	0	1.3	0	0
0	1	0.9	0.5	1.02	0.12	0	9.48	0	1.32	0	0
0	1	0.9	0.51	1.08	0.12	0	10.16	0	1.36	0	0
0	1	0.9	0.52	1.14	0.14	0	10.58	0	1.38	0	0
0	1	0.9	0.53	1.2	0.14	0	11	0	1.42	0	0
0	1	0.9	0.54	1.26	0.16	0	11.8	0	1.46	0	0
0	1	0.9	0.55	1.34	0.16	0	12.28	0	1.48	0	0
0	1	0.9	0.56	1.4	0.18	0	13.16	0	1.5	0	0
0	1	0.9	0.57	1.5	0.2	0	13.7	0	1.52	0	0
0	1	0.9	0.58	1.56	0.2	0	14.24	0	1.56	0	0
0	1	0.9	0.59	1.64	0.22	0	15.28	0	1.58	0	0
0	1	0.9	0.6	1.72	0.24	0	15.9	0	1.62	0	0
0	1	0.9	0.61	1.82	0.26	0	16.54	0	1.64	0	0
0	1	0.9	0.62	1.9	0.26	0	17.72	0	1.66	0	0
0	1	0.9	0.63	2	0.28	0	18.44	0	1.68	0	0
0	1	0.9	0.64	2.08	0.3	0	19.18	0	1.72	0	0
0	1	0.9	0.65	2.18	0.32	0	19.96	0	1.74	0	0
0	1	0.9	0.66	2.3	0.34	0	20	0	1.76	0	0
0	1	0.9	0.67	2.38	0.36	0	20	0	1.78	0	0
