K	delta	b	NashE	NashR	NashEm	NashRm	CS01m	CS12m	TS01m	TS12m	Coop01m	Coop12m
0	1	0	0	0	0	0	0	0	0	0	0	0
0	1	0.01	0	0	0	0	0	0	0	0	0	0
0	1	0.02	0	0	0	0	0	0	0	0	0	0
0	1	0.03	0	0	0	0	0	0.02	0	0	0	0
0	1	0.04	0	0	0	0	0	0.04	0	0	0	0
0	1	0.05	0	0	0	0	0	0.08	0	0.02	0	0
0	1	0.06	0	0	0	0	0	0.12	0	0.04	0	0
0	1	0.07	0	0	0	0	0	0.18	0	0.06	0	0
0	1	0.08	0	0	0	0	0	0.24	0	0.08	0	0
0	1	0.09	0	0	0	0	0	0.3	0	0.1	0	0
0	1	0.1	0.02	0	0.02	0	0	0.36	0	0.12	0	0
0	1	0.11	0.02	0	0.02	0	0	0.44	0	0.14	0	0
0	1	0.12	0.02	0	0.02	0	0	0.54	0	0.18	0	0
0	1	0.13	0.04	0	0.04	0	0	0.64	0	0.22	0	0
0	1	0.14	0.04	0	0.04	0	0	0.74	0	0.24	0	0
0	1	0.15	0.06	0	0.06	0	0	0.84	0	0.28	0	0
0	1	0.16	0.06	0	0.06	0	0	0.96	0	0.32	0	0
0	1	0.17	0.08	0	0.08	0	0	1.08	0	0.38	0	0
0	1	0.18	0.1	0	0.1	0	0	1.2	0	0.42	0	0
0	1	0.19	0.12	0	0.12	0	0	1.34	0	0.46	0	0
0	1	0.2	0.14	0	0.14	0	0	1.48	0	0.52	0	0
0	1	0.21	0.16	0	0.16	0.02	0	1.64	0	0.58	0.02	0.02
0	1	0.22	0.18	0	0.18	0.02	0	1.8	0	0.64	0.02	0.02
0	1	0.23	0.2	0	0.2	0.02	0	1.96	0	0.7	0.02	0.02
0	1	0.24	0.22	0	0.22	0.04	0	2.12	0	0.76	0.04	0.04
0	1	0.25	0.26	0.02	0.26	0.04	0	2.3	0	0.82	0.04	0.04
0	1	0.26	0.28	0.02	0.28	0.06	0	2.5	0	0.9	0.04	0.04
0	1	0.27	0.32	0.02	0.32	0.06	0	2.68	0	0.96	0.06	0.06
0	1	0.28	0.34	0.02	0.34	0.08	0	2.88	0	1.04	0.06	0.06
0	1	0.29	0.38	0.02	0.38	0.08	0	3.1	0	1.12	0.08	0.08
0	1	0.3	0.42	0.04	0.42	0.1	0	3.3	0	1.2	0.08	0.08
0	1	0.31	0.46	0.04	0.46	0.12	0	3.54	0	1.28	0.1	0.1
0	1	0.32	0.52	0.04	0.52	0.12	0	3.76	0	1.38	0.1	0.1
0	1	0.33	0.56	0.06	0.56	0.14	0	4	0	1.46	0.12	0.12
0	1	0.34	0.6	0.06	0.6	0.16	0	4.24	0	1.56	0.14	0.14
0	1	0.35	0.66	0.08	0.66	0.18	0	4.5	0	1.66	0.14	0.14
0	1	0.36	0.72	0.08	0.72	0.2	0	4.76	0	1.76	0.16	0.16
0	1	0.37	0.78	0.1	0.78	0.22	0	5.02	0	1.86	0.18	0.18
0	1	0.38	0.84	0.1	0.84	0.26	0	5.3	0	1.98	0.2	0.2
0	1	0.39	0.9	0.12	0.9	0.28	0	5.58	0	2.08	0.22	0.22
0	1	0.4	0.96	0.14	0.96	0.3	0	5.88	0	2.2	0.24	0.24
0	1	0.41	1.04	0.14	1.04	0.34	0	6.18	0	2.32	0.26	0.26
0	1	0.42	1.1	0.16	1.1	0.38	0	6.5	0	2.44	0.3	0.3
0	1	0.43	1.18	0.18	1.18	0.4	0	6.82	0	2.58	0.32	0.32
0	1	0.44	1.26	0.2	1.26	0.44	0	7.12	0	2.7	0.34	0.34
0	1	0.45	1.36	0.22	1.36	0.48	0	7.44	0	2.84	0.38	0.38
0	1	0.46	1.44	0.24	1.44	0.52	0	7.8	0	2.98	0.42	0.42
0	1	0.47	1.54	0.26	1.54	0.58	0	8.12	0	3.14	0.44	0.44
0	1	0.48	1.62	0.3	1.62	0.62	0	8.5	0	3.28	0.48	0.48
0	1	0.49	1.72	0.32	1.72	0.68	0	8.84	0	3.44	0.52	0.52
0	1	0.5	1.82	0.36	1.82	0.72	0	9.2	0	3.6	0.56	0.56
0	1	0.51	1.94	0.38	1.94	0.78	0	9.58	0	3.76	0.6	0.6
0	1	0.52	2.04	0.42	2.04	0.84	0	9.96	0	3.92	0.64	0.64
0	1	0.53	2.16	0.46	2.16	0.9	0	10.36	0	4.1	0.7	0.7
0	1	0.54	2.28	0.5	2.28	0.98	0	10.72	0	4.28	0.74	0.74
0	1	0.55	2.4	0.54	2.4	1.04	0	11.12	0	4.48	0.8	0.8
0	1	0.56	2.54	0.58	2.54	1.12	0	11.52	0	4.66	0.84	0.84
0	1	0.57	2.66	0.62	2.66	1.2	0	11.94	0	4.86	0.9	0.9
0	1	0.58	2.8	0.68	2.8	1.28	0	12.38	0	5.06	0.96	0.96
0	1	0.59	2.94	0.74	2.94	1.38	0	12.78	0	5.28	1.04	1.04
0	1	0.6	3.1	0.8	3.1	1.46	0	13.22	0	5.48	1.1	1.1
0	1	0.61	3.26	0.86	3.26	1.56	0	13.68	0	5.7	1.16	1.16
0	1	0.62	3.4	0.92	3.4	1.68	0	14.1	0	5.92	1.24	1.24
0	1	0.63	3.58	0.98	3.58	1.78	0	14.56	0	6.16	1.32	1.32
0	1	0.64	3.74	1.06	3.74	1.9	0	15.04	0	6.4	1.4	1.4
0	1	0.65	3.92	1.14	3.92	2.02	0	15.48	0	6.64	1.48	1.48
0	1	0.66	4.1	1.22	4.1	2.14	0	15.96	0	6.88	1.58	1.58
0	1	0.67	4.3	1.3	4.3	2.28	0	16.42	0	7.14	1.66	1.66
0	1	0.68	4.48	1.4	4.48	2.42	0	16.9	0	7.4	1.76	1.76
0	1	0.69	4.68	1.5	4.68	2.56	0	17.38	0	7.66	1.86	1.86
0	1	0.7	4.9	1.6	4.9	2.72	0	17.88	0	7.94	1.98	1.98
0	1	0.71	5.1	1.72	5.1	2.88	0	18.38	0	8.2	2.08	2.08
0	1	0.72	5.32	1.82	5.32	3.04	0	18.9	0	8.48	2.2	2.2
0	1	0.73	5.54	1.96	5.54	3.22	0	19.4	0	8.78	2.34	2.34
0	1	0.74	5.76	2.08	5.76	3.42	0	19.92	0	9.06	2.46	2.46
0	1	0.75	6	2.22	6	3.6	0	20	0	9.34	2.6	2.6
0	1	0.76	6.24	2.36	6.24	3.82	0	20	0	9.66	2.72	2.72
0	1	0.77	6.5	2.52	6.5	4.02	0	20	0	9.94	2.88	2.88
0	1	0.78	6.74	2.68	6.74	4.26	0	20	0	10.26	3.04	3.04
0	1	0.79	7	2.86	7	4.48	0	20	0	10.56	3.2	3.2
0	1	0.8	7.28	3.04	7.28	4.72	0	20	0	10.86	3.36	3.36
0	1	0.81	7.54	3.24	7.54	4.98	0	20	0	11.18	3.52	3.52
0	1	0.82	7.82	3.44	7.82	5.24	0	20	0	11.5	3.72	3.72
0	1	0.83	8.1	3.64	8.1	5.5	0	20	0	11.82	3.9	3.9
0	1	0.84	8.38	3.88	8.38	5.78	0	20	0	12.14	4.1	4.1
0	1	0.85	8.66	4.1	8.66	6.06	0	20	0	12.46	4.3	4.3
0	1	0.86	8.96	4.36	8.96	6.34	0	20	0	12.8	4.5	4.5
0	1	0.87	9.26	4.6	9.26	6.66	0	20	0	13.12	4.72	4.72
0	1	0.88	9.56	4.88	9.56	6.96	0	20	0	13.46	4.96	4.96
0	1	0.89	9.88	5.14	9.88	7.28	0	20	0	13.78	5.18	5.18
0	1	0.9	10.2	5.42	10.2	7.6	0	20	0	14.12	5.42	5.42
0	1	0.91	10.5	5.72	10.5	7.92	0	20	0	14.46	5.66	5.66
0	1	0.92	10.84	6.02	10.84	8.24	0	20	0	14.8	5.92	5.92
0	1	0.93	11.16	6.32	11.16	8.58	0	20	0	15.12	6.18	6.18
0	1	0.94	11.5	6.64	11.5	8.94	0	20	0	15.46	6.44	6.44
